wavelength,left,right
900.0,0.000007627,0.000007236
901.0,0.000007627,0.000007297
902.0,0.000007627,0.000007401
903.0,0.000007627,0.000007546
904.0,0.000007627,0.000007709
905.0,0.000007627,0.000007884
906.0,0.000007627,0.000008049
907.0,0.000007627,0.000008189
908.0,0.000007627,0.000008298
909.0,0.000007627,0.000008369
910.0,0.000007627,0.000008383
911.0,0.000007627,0.000008362
912.0,0.000007627,0.000008308
913.0,0.000007627,0.000008232
914.0,0.000007627,0.000008141
915.0,0.000007627,0.000008060
916.0,0.000007627,0.000007986
917.0,0.000007627,0.000007939
918.0,0.000007627,0.000007919
919.0,0.000007627,0.000007921
920.0,0.000007627,0.000007952
921.0,0.000007627,0.000008003
922.0,0.000007627,0.000008070
923.0,0.000007627,0.000008143
924.0,0.000007627,0.000008213
925.0,0.000007627,0.000008280
926.0,0.000007627,0.000008329
927.0,0.000007627,0.000008361
928.0,0.000007627,0.000008377
929.0,0.000007627,0.000008371
930.0,0.000007627,0.000008348
931.0,0.000007627,0.000008313
932.0,0.000007627,0.000008279
933.0,0.000007627,0.000008241
934.0,0.000007627,0.000008206
935.0,0.000007627,0.000008176
936.0,0.000007627,0.000008159
937.0,0.000007627,0.000008154
938.0,0.000007627,0.000008159
939.0,0.000007627,0.000008174
940.0,0.000007627,0.000008196
941.0,0.000007627,0.000008229
942.0,0.000007627,0.000008257
943.0,0.000007627,0.000008292
944.0,0.000007627,0.000008321
945.0,0.000007627,0.000008348
946.0,0.000007627,0.000008374
947.0,0.000007627,0.000008392
948.0,0.000007627,0.000008411
949.0,0.000007627,0.000008418
950.0,0.000007627,0.000008423
951.0,0.000007627,0.000008429
952.0,0.000007627,0.000008428
953.0,0.000007627,0.000008423
954.0,0.000007627,0.000008420
955.0,0.000007627,0.000008415
956.0,0.000007627,0.000008411
957.0,0.000007627,0.000008409
958.0,0.000007627,0.000008412
959.0,0.000007627,0.000008413
960.0,0.000007627,0.000008419
961.0,0.000007627,0.000008430
962.0,0.000007627,0.000008443
963.0,0.000007627,0.000008460
964.0,0.000007627,0.000008476
965.0,0.000007627,0.000008495
966.0,0.000007627,0.000008505
967.0,0.000007627,0.000008507
968.0,0.000007627,0.000008491
969.0,0.000007627,0.000008457
970.0,0.000007627,0.000008401
971.0,0.000007627,0.000008321
972.0,0.000007627,0.000008215
973.0,0.000007627,0.000008086
974.0,0.000007627,0.000007935
975.0,0.000007627,0.000007770
976.0,0.000007627,0.000007596
977.0,0.000007627,0.000007420
978.0,0.000007627,0.000007254
979.0,0.000007627,0.000007103
980.0,0.000007627,0.000006972
981.0,0.000007627,0.000006876
982.0,0.000007627,0.000006813
983.0,0.000007627,0.000006789
984.0,0.000007627,0.000006810
985.0,0.000007627,0.000006870
986.0,0.000007627,0.000006968
987.0,0.000007627,0.000007105
988.0,0.000007627,0.000007274
989.0,0.000007627,0.000007460
990.0,0.000007627,0.000007654
991.0,0.000007627,0.000007838
992.0,0.000007627,0.000008000
993.0,0.000007627,0.000008120
994.0,0.000007627,0.000008188
995.0,0.000007627,0.000008191
996.0,0.000007627,0.000008132
997.0,0.000007627,0.000008017
998.0,0.000007627,0.000007848
999.0,0.000007627,0.000007638
1000.0, 0.00000762, 0.000007408
1001.0, 0.00000762, 0.000007175
1002.0, 0.00000762, 0.000006950
1003.0, 0.00000762, 0.000006757
1004.0, 0.00000762, 0.000006596
1005.0, 0.00000762, 0.000006479
1006.0, 0.00000762, 0.000006410
1007.0, 0.00000762, 0.000006395
1008.0, 0.00000762, 0.000006431
1009.0, 0.00000762, 0.000006516
1010.0, 0.00000762, 0.000006651
1011.0, 0.00000762, 0.000006829
1012.0, 0.00000762, 0.000007042
1013.0, 0.00000762, 0.000007268
1014.0, 0.00000762, 0.000007507
1015.0, 0.00000762, 0.000007732
1016.0, 0.00000762, 0.000007933
1017.0, 0.00000762, 0.000008087
1018.0, 0.00000762, 0.000008185
1019.0, 0.00000762, 0.000008222
1020.0, 0.00000762, 0.000008194
1021.0, 0.00000762, 0.000008111
1022.0, 0.00000762, 0.000007980
1023.0, 0.00000762, 0.000007818
1024.0, 0.00000762, 0.000007642
1025.0, 0.00000762, 0.000007470
1026.0, 0.00000762, 0.000007314
1027.0, 0.00000762, 0.000007193
1028.0, 0.00000762, 0.000007119
1029.0, 0.00000762, 0.000007095
1030.0, 0.00000762, 0.000007120
1031.0, 0.00000762, 0.000007195
1032.0, 0.00000762, 0.000007318
1033.0, 0.00000762, 0.000007473
1034.0, 0.00000762, 0.000007654
1035.0, 0.00000762, 0.000007843
1036.0, 0.00000762, 0.000008016
1037.0, 0.00000762, 0.000008148
1038.0, 0.00000762, 0.000008225
1039.0, 0.00000762, 0.000008220
1040.0, 0.00000762, 0.000008132
1041.0, 0.00000762, 0.000007958
1042.0, 0.00000762, 0.000007697
1043.0, 0.00000762, 0.000007372
1044.0, 0.00000762, 0.000006998
1045.0, 0.00000762, 0.000006606
1046.0, 0.00000762, 0.000006208
1047.0, 0.00000762, 0.000005831
1048.0, 0.00000762, 0.000005482
1049.0, 0.00000762, 0.000005176
1050.0, 0.00000762, 0.000004913
1051.0, 0.00000762, 0.000004706
1052.0, 0.00000762, 0.000004547
